area,type,total,price,name
甘井子区,低楼层(共7层)|2003年建|2室1厅|65.12平米|南, 102万,"15,664元/平",泡崖美林园
甘井子区,中楼层(共7层)|2000年建|2室1厅|76.49平米|南北, 160万,"20,918元/平",大连门小区
甘井子区,高楼层(共25层)|2016年建|3室1厅|92.71平米|南北, 155万,"16,719元/平",中航华府
甘井子区,高楼层(共7层)|1997年建|2室1厅|73.75平米|南北, 110万,"14,916元/平",促进小区
甘井子区,低楼层(共22层)|2008年建|2室2厅|103.98平米|南, 139万,"13,368元/平",美域盛景
甘井子区,高楼层(共7层)|1990年建|3室1厅|74.16平米|南北, 92.8万,"12,514元/平",椒房
甘井子区,高楼层(共18层)|2012年建|2室1厅|80.91平米|南北东, 165万,"20,394元/平",美辰香醒
甘井子区,高楼层(共28层)|2012年建|2室1厅|83.81平米|南, 88万,"10,500元/平",欣家园二期
甘井子区,中楼层(共6层)|2017年建|3室2厅|135.43平米|南北, 285万,"21,045元/平",亿达春田里
甘井子区,低楼层(共7层)|2003年建|2室1厅|68.85平米|西南北, 135万,"19,608元/平",泡崖美林园
甘井子区,低楼层(共29层)|2013年建|2室1厅|80.65平米|南北, 187万,"23,187元/平",华润置地广场二期
甘井子区,中楼层(共33层)|2000年建|2室1厅|70.38平米|南, 74.7万,"10,614元/平",欣家园二期
甘井子区,高楼层(共15层)|2009年建|2室2厅|99.25平米|南北, 149万,"15,013元/平",嘉安边防家园
甘井子区,中楼层(共5层)|2004年建|2室1厅|57.43平米|南, 73.5万,"12,799元/平",顺达温泉花园二期
甘井子区,低楼层(共7层)|1995年建|2室1厅|64.21平米|东西, 86万,"13,394元/平",宏孚小区
甘井子区,低楼层(共8层)|2019年建|3室2厅|92.53平米|南北, 208万,"22,480元/平",中海万锦公馆
甘井子区,低楼层(共5层)2室1厅|52.53平米|南北, 68万,"12,945元/平",海港楼
甘井子区,高楼层(共32层)|2010年建|2室1厅|63.25平米|西南, 68万,"10,751元/平",福佳新城一期
甘井子区,低楼层(共12层)|2007年建|3室2厅|126.95平米|南北, 245万,"19,299元/平",动力院景二期汇善南园
甘井子区,中楼层(共11层)|2010年建|2室1厅|81.17平米|南北, 135.5万,"16,694元/平",和合美家
甘井子区,高楼层(共7层)|1984年建|1室1厅|43.37平米|东南, 60万,"13,835元/平",椒房
甘井子区,低楼层(共6层)|2007年建|3室1厅|87.42平米|东西, 142万,"16,244元/平",万锦民悦一期
甘井子区,高楼层(共6层)|1989年建|2室1厅|47.76平米|南, 74万,"15,495元/平",千山路
甘井子区,高楼层(共10层)|2010年建|2室2厅|88.21平米|南北, 158.5万,"17,969元/平",锦泉源D4区
甘井子区,高楼层(共30层)|2015年建|1室1厅|58.2平米|南, 93万,"15,980元/平",万成御园
甘井子区,低楼层(共5层)|2009年建|2室1厅|62.24平米|南北, 102万,"16,389元/平",鹏辉新天居三期
甘井子区,高楼层(共17层)|2015年建|1室1厅|54.97平米|南, 99万,"18,010元/平",华润考拉住区
甘井子区,中楼层(共18层)|2008年建|2室1厅|79.92平米|南, 128万,"16,017元/平",龙畔金泉五期K2区
甘井子区,中楼层(共4层)|1999年建|4室2厅|153.57平米|南北西, 225万,"14,652元/平",泡崖五区
甘井子区,低楼层(共7层)|1997年建|2室1厅|56.05平米|南北, 71万,"12,668元/平",泡崖二区
甘井子区,高楼层(共30层)|2010年建|1室1厅|56.3平米|西北, 108万,"19,183元/平",锦绣暖山
甘井子区,中楼层(共18层)|2016年建|1室1厅|52.2平米|南, 79万,"15,135元/平",中海凤凰熙岸
甘井子区,高楼层(共18层)|2010年建|1室1厅|50.02平米|南, 90万,"17,993元/平",半岛泉水欣座
甘井子区,中楼层(共7层)|2007年建|1室1厅|44.54平米|南, 70万,"15,717元/平",泡崖康顺园
甘井子区,中楼层(共11层)|2013年建|2室1厅|88.6平米|南北, 126.5万,"14,278元/平",颐泊湾
甘井子区,中楼层(共5层)|2002年建|2室1厅|91.35平米|南北, 128万,"14,013元/平",泡崖四区
甘井子区,中楼层(共6层)|2004年建|2室1厅|59.02平米|南北, 115万,"19,485元/平",千山心城
甘井子区,中楼层(共33层)|2012年建|2室1厅|79.67平米|南, 87万,"10,921元/平",欣家园一期
甘井子区,中楼层(共16层)|2019年建|3室2厅|121.05平米|南北, 230万,"19,001元/平",中华城·领第
甘井子区,中楼层(共6层)|1988年建|2室1厅|58.24平米|南北, 76.8万,"13,187元/平",北山小区
甘井子区,中楼层(共8层)|2010年建|3室1厅|94.94平米|南北, 156万,"16,432元/平",中冶蓝城E区
甘井子区,低楼层(共12层)2室2厅|90.15平米|南北, 172万,"19,080元/平",金寓花园二期
甘井子区,高楼层(共7层)|1992年建|2室1厅|74平米|西, 75万,"10,136元/平",兰丰巷
甘井子区,高楼层(共11层)|2010年建|2室1厅|87.61平米|南北, 165万,"18,834元/平",半岛泉水欣座
甘井子区,中楼层(共11层)|2008年建|2室1厅|64.6平米|东南, 112万,"17,338元/平",鹏辉新天居一期
甘井子区,中楼层(共30层)|2012年建|3室2厅|113.37平米|南北, 245万,"21,611元/平",沿海鉴筑二期
甘井子区,低楼层(共15层)|2020年建|2室2厅|77.59平米|南北, 140万,"18,044元/平",保利罗兰A2区
甘井子区,中楼层(共7层)|2002年建|2室2厅|116.02平米|南北, 145万,"12,498元/平",玉丽街
甘井子区,高楼层(共20层)|2017年建|1室1厅|51.73平米|西北, 88万,"17,012元/平",华润考拉住区
甘井子区,低楼层(共6层)|1994年建|2室1厅|79.46平米|南北, 114万,"14,347元/平",千山路
甘井子区,低楼层(共33层)|2013年建|2室1厅|85.91平米|南北, 96万,"11,175元/平",欣家园二期
甘井子区,高楼层(共6层)|1996年建|1室1厅|37.23平米|西南, 46.6万,"12,517元/平",海港楼
甘井子区,高楼层(共7层)|2015年建|2室1厅|89.01平米|南北, 145万,"16,291元/平",金地艺境
甘井子区,高楼层(共11层)|2015年建|3室2厅|82.59平米|南北, 88万,"10,656元/平",颐和五号
甘井子区,高楼层(共11层)2室1厅|89.34平米|南北, 170万,"19,029元/平",光明山西街
甘井子区,高楼层(共30层)|2015年建|3室2厅|112.97平米|南北, 169万,"14,960元/平",中海御湖熙谷
甘井子区,低楼层(共25层)|2013年建|2室1厅|67.82平米|南北, 139万,"20,496元/平",沿海鉴筑
甘井子区,中楼层(共5层)|2006年建|2室1厅|52.34平米|南, 89.8万,"17,158元/平",金马圣隆
甘井子区,低楼层(共11层)|2009年建|2室1厅|93.57平米|南北, 330万,"35,268元/平",恒德橄榄季
甘井子区,中楼层(共6层)|2004年建|3室1厅|87.77平米|南北, 128万,"14,584元/平",泡崖新六区
甘井子区,中楼层(共4层)|1989年建|1室0厅|36.03平米|南, 66万,"18,319元/平",久胜街
甘井子区,高楼层(共14层)|2017年建|2室2厅|82.94平米|南北, 178万,"21,462元/平",万科城市之光
甘井子区,中楼层(共33层)|2018年建|1室1厅|59.39平米|南, 138万,"23,237元/平",远洋荣域B2区
甘井子区,低楼层(共10层)|2009年建|2室1厅|103.88平米|南北, 148万,"14,248元/平",嘉安边防家园
甘井子区,中楼层(共26层)|2016年建|3室2厅|116.04平米|南北, 160万,"13,789元/平",金地檀境
甘井子区,高楼层(共6层)|2005年建|2室2厅|64.26平米|南北, 96万,"14,940元/平",锦泉源D2区
